记号,名称,音程,度数,音程结构,音高集合,优先级,和弦标记
maj7#9#11,-,"0,3,4,6,7,11","1P,3M,5P,7M,9A,11A",Major,2481,0,maj7#9#11
"Madd9,2,add9,add2",-,"0,2,4,7","1P,3M,5P,9M",Major,2704,0,Madd9
7b6,-,"0,4,7,8,10","1P,3M,5P,6m,7m",Major,2202,0,7b6
M7add13,-,"0,2,4,7,9,11","1P,3M,5P,6M,7M,9M",Major,2709,0,M7add13
69#11,-,"0,2,4,6,7,9","1P,3M,5P,6M,9M,11A",Major,2740,0,69#11
"M6#11,M6b5,6#11,6b5",-,"0,4,6,7,9","1P,3M,5P,6M,11A",Major,2228,0,M6#11
7#5b9#11,-,"0,1,4,6,8,10","1P,3M,5A,7m,9m,11A",Augmented,3242,0,7#5b9#11
"7#5b9,7b9#5",-,"0,1,4,8,10","1P,3M,5A,7m,9m",Augmented,3210,0,7#5b9
9#5#11,-,"0,2,4,6,8,10","1P,3M,5A,7m,9M,11A",Augmented,2730,0,9#5#11
"9#5,9+",-,"0,2,4,8,10","1P,3M,5A,7m,9M",Augmented,2698,0,9#5
"7#5#9,7#9#5,7alt",-,"0,3,4,8,10","1P,3M,5A,7m,9A",Augmented,2442,0,7#5#9
"7#5,+7,7+,7aug,aug7",-,"0,4,8,10","1P,3M,5A,7m",Augmented,2186,0,7#5
"maj9#5,Maj9#5",-,"0,2,4,8,11","1P,3M,5A,7M,9M",Augmented,2697,0,maj9#5
"M#5add9,+add9",-,"0,2,4,8","1P,3M,5A,9M",Augmented,2696,0,M#5add9
+add#9,-,"0,3,4,8","1P,3M,5A,9A",Augmented,2440,0,+add#9
"4,quartal",-,"0,3,5,10","1P,4P,7m,10m",Unknown,2370,0,4
"7sus4b9b13,7b9b13sus4",-,"0,1,5,7,8,10","1P,4P,5P,7m,9m,13m",Unknown,3162,0,7sus4b9b13
"13sus4,13sus",-,"0,2,5,7,9,10","1P,4P,5P,7m,9M,13M",Unknown,2646,0,13sus4
"9sus4,9sus",-,"0,2,5,7,10","1P,4P,5P,7m,9M",Unknown,2642,0,9sus4
M9sus4,-,"0,2,5,7,11","1P,4P,5P,7M,9M",Unknown,2641,0,M9sus4
M7sus4,-,"0,5,7,11","1P,4P,5P,7M",Unknown,2129,0,M7sus4
7#5sus4,-,"0,5,8,10","1P,4P,5A,7m",Augmented,2122,0,7#5sus4
M9#5sus4,-,"0,2,5,8,11","1P,4P,5A,7M,9M",Augmented,2633,0,M9#5sus4
M7#5sus4,-,"0,5,8,11","1P,4P,5A,7M",Augmented,2121,0,M7#5sus4
11b9,-,"0,1,5,7,10","1P,5P,7m,9m,11P",Unknown,3154,0,11b9
